year,MONTANA TOTAL/Predictions
1994,453
1996,487
1998,472
2000,461
2002,468
2004,519
2006,512
2008,516
2010,491
2012,553
2014,506
2016,581
2018,579
2020,641
2022,601
2024,612
2026,623
2028,634
2030,645
