year,UNITED STATES HISPANIC ORIGIN/Predictions
1994,5473
1996,6573
1998,14031
2000,7546
2002,8196
2004,9308
2006,9304
2008,11608
2010,10982
2012,13697
2014,12862
2016,15267
2018,15558
2020,18719
2022,17204
2024,17982
2026,18761
2028,19539
2030,20318
