year,MISSISSIPPI HISPANIC ORIGIN/Predictions
1994,2
1996,3
1998,478
2000,13
2002,8
2004,16
2006,0
2008,10
2010,5
2012,5
2014,17
2016,18
2018,16
2020,34
2022,-14
2024,-22
2026,-30
2028,-38
2030,-46
