year,MAINE HISPANIC ORIGIN/Predictions
1994,2
1996,2
1998,1
2000,4
2002,3
2004,7
2006,1
2008,9
2010,4
2012,4
2014,4
2016,7
2018,8
2020,7
2022,7
2024,8
2026,8
2028,8
2030,9
