year,IOWA TOTAL/Predictions
1994,1475
1996,1543
1998,1562
2000,1524
2002,1495
2004,1674
2006,1663
2008,1630
2010,1547
2012,1745
2014,1584
2016,1657
2018,1658
2020,1742
2022,1719
2024,1734
2026,1750
2028,1765
2030,1780
