year,KENTUCKY FEMALE/Predictions
1994,916
1996,1108
1998,984
2000,1125
2002,1049
2004,1192
2006,1190
2008,1215
2010,1157
2012,1262
2014,1207
2016,1218
2018,1297
2020,1291
2022,1332
2024,1356
2026,1379
2028,1402
2030,1426
