year,MISSISSIPPI FEMALE/Predictions
1994,736
1996,753
1998,816
2000,809
2002,781
2004,833
2006,817
2008,848
2010,857
2012,971
2014,888
2016,945
2018,881
2020,957
2022,965
2024,981
2026,996
2028,1012
2030,1027
