year,UTAH FEMALE/Predictions
1994,385
1996,465
1998,415
2000,500
2002,489
2004,594
2006,485
2008,561
2010,581
2012,595
2014,562
2016,698
2018,752
2020,769
2022,753
2024,779
2026,805
2028,830
2030,856
