year,NORTH DAKOTA TOTAL/Predictions
1994,412
1996,412
1998,416
2000,409
2002,405
2004,412
2006,397
2008,399
2010,361
2012,383
2014,363
2016,424
2018,397
2020,429
2022,393
2024,392
2026,391
2028,390
2030,389
