year,MICHIGAN HISPANIC ORIGIN/Predictions
1994,58
1996,87
1998,716
2000,51
2002,109
2004,73
2006,137
2008,85
2010,107
2012,193
2014,179
2016,101
2018,99
2020,178
2022,114
2024,108
2026,103
2028,98
2030,92
