year,SOUTH DAKOTA WHITE/Predictions
1994,365
1996,373
1998,3
2000,357
2002,408
2004,408
2006,424
2008,421
2010,380
2012,405
2014,369
2016,406
2018,392
2020,401
2022,435
2024,445
2026,454
2028,464
2030,473
