year,ALASKA WHITE/Predictions
1994,236
1996,257
1998,6
2000,245
2002,246
2004,278
2006,264
2008,278
2010,262
2012,283
2014,234
2016,261
2018,236
2020,265
2022,280
2024,286
2026,291
2028,297
2030,302
