year,IOWA MALE/Predictions
1994,693
1996,730
1998,737
2000,733
2002,685
2004,788
2006,790
2008,765
2010,729
2012,838
2014,755
2016,780
2018,833
2020,853
2022,836
2024,845
2026,855
2028,864
2030,874
