year,KANSAS TOTAL/Predictions
1994,1180
1996,1257
1998,1191
2000,1293
2002,1298
2004,1338
2006,1274
2008,1343
2010,1349
2012,1467
2014,1353
2016,1438
2018,1449
2020,1398
2022,1471
2024,1490
2026,1508
2028,1527
2030,1546
