year,CALIFORNIA MALE/Predictions
1994,5876
1996,6062
1998,5924
2000,6170
2002,5599
2004,6695
2006,6301
2008,6948
2010,6705
2012,7245
2014,6622
2016,7663
2018,7372
2020,8549
2022,7962
2024,8131
2026,8300
2028,8469
2030,8638
