year,NEW MEXICO MALE/Predictions
1994,335
1996,349
1998,359
2000,332
2002,351
2004,436
2006,450
2008,445
2010,336
2012,450
2014,433
2016,416
2018,422
2020,495
2022,471
2024,480
2026,490
2028,499
2030,509
