year,NEW JERSEY WHITE/Predictions
1994,3202
1996,3216
1998,265
2000,3346
2002,3266
2004,3410
2006,2927
2008,3233
2010,2921
2012,3448
2014,3161
2016,3349
2018,3349
2020,3826
2022,3655
2024,3734
2026,3812
2028,3891
2030,3970
