year,MASSACHUSETTS HISPANIC ORIGIN/Predictions
1994,28
1996,48
1998,93
2000,103
2002,74
2004,140
2006,84
2008,103
2010,134
2012,216
2014,155
2016,199
2018,249
2020,271
2022,257
2024,273
2026,289
2028,306
2030,322
