year,WYOMING WHITE/Predictions
1994,225
1996,244
1998,6
2000,236
2002,234
2004,258
2006,247
2008,261
2010,230
2012,259
2014,227
2016,284
2018,259
2020,280
2022,287
2024,295
2026,302
2028,310
2030,317
