year,OHIO WHITE/Predictions
1994,4855
1996,5087
1998,37
2000,4913
2002,4857
2004,5268
2006,5212
2008,5285
2010,4910
2012,5201
2014,4869
2016,5235
2018,5152
2020,5724
2022,5733
2024,5863
2026,5993
2028,6123
2030,6253
