year,INDIANA HISPANIC ORIGIN/Predictions
1994,25
1996,38
1998,187
2000,29
2002,30
2004,57
2006,59
2008,45
2010,33
2012,71
2014,78
2016,69
2018,96
2020,72
2022,74
2024,75
2026,77
2028,78
2030,79
