year,NEVADA BLACK/Predictions
1994,37
1996,35
1998,547
2000,55
2002,44
2004,61
2006,63
2008,114
2010,69
2012,107
2014,124
2016,122
2018,108
2020,155
2022,107
2024,105
2026,104
2028,103
2030,101
