year,ARIZONA MALE/Predictions
1994,805
1996,831
1998,779
2000,885
2002,959
2004,1166
2006,1101
2008,1382
2010,1419
2012,1398
2014,1309
2016,1485
2018,1539
2020,1784
2022,1748
2024,1820
2026,1893
2028,1966
2030,2038
