year,VIRGINIA HISPANIC ORIGIN/Predictions
1994,46
1996,34
1998,565
2000,106
2002,32
2004,78
2006,51
2008,74
2010,88
2012,114
2014,112
2016,240
2018,159
2020,271
2022,171
2024,175
2026,179
2028,184
2030,188
