year,GEORGIA BLACK/Predictions
1994,775
1996,1015
1998,2332
2000,1296
2002,1095
2004,1083
2006,1081
2008,1414
2010,1260
2012,1491
2014,1339
2016,1552
2018,1577
2020,1721
2022,1600
2024,1632
2026,1664
2028,1696
2030,1728
