year,NORTH CAROLINA WHITE/Predictions
1994,2496
1996,2930
1998,14
2000,2812
2002,2883
2004,3268
2006,3281
2008,3782
2010,3344
2012,3848
2014,3545
2016,3776
2018,3830
2020,3638
2022,4245
2024,4397
2026,4550
2028,4702
2030,4854
