year,MICHIGAN BLACK/Predictions
1994,702
1996,633
1998,4469
2000,621
2002,621
2004,676
2006,674
2008,738
2010,598
2012,687
2014,685
2016,708
2018,670
2020,713
2022,403
2024,331
2026,259
2028,188
2030,116
