year,SOUTH CAROLINA FEMALE/Predictions
1994,869
1996,1011
1998,1055
2000,1124
2002,1082
2004,1230
2006,1091
2008,1333
2010,1250
2012,1382
2014,1325
2016,1430
2018,1309
2020,1447
2022,1496
2024,1534
2026,1572
2028,1610
2030,1649
