year,INDIANA BLACK/Predictions
1994,112
1996,185
1998,2500
2000,168
2002,184
2004,229
2006,209
2008,228
2010,254
2012,309
2014,226
2016,284
2018,299
2020,306
2022,144
2024,111
2026,78
2028,45
2030,12
