year,IOWA HISPANIC ORIGIN/Predictions
1994,13
1996,12
1998,14
2000,22
2002,16
2004,13
2006,16
2008,21
2010,15
2012,32
2014,21
2016,29
2018,85
2020,42
2022,48
2024,51
2026,54
2028,57
2030,60
