year,HAWAII WHITE/Predictions
1994,175
1996,153
1998,13
2000,121
2002,127
2004,148
2006,134
2008,149
2010,99
2012,170
2014,117
2016,144
2018,137
2020,184
2022,153
2024,155
2026,158
2028,160
2030,163
