year,NEW JERSEY BLACK/Predictions
1994,412
1996,480
1998,3091
2000,422
2002,429
2004,523
2006,359
2008,513
2010,555
2012,586
2014,496
2016,550
2018,611
2020,658
2022,416
2024,380
2026,343
2028,306
2030,270
