year,DELAWARE WHITE/Predictions
1994,257
1996,273
1998,4
2000,313
2002,318
2004,344
2006,322
2008,355
2010,330
2012,365
2014,336
2016,372
2018,340
2020,392
2022,410
2024,424
2026,437
2028,451
2030,465
