year,PENNSYLVANIA BLACK/Predictions
1994,596
1996,528
1998,4957
2000,524
2002,473
2004,523
2006,432
2008,557
2010,494
2012,675
2014,492
2016,751
2018,653
2020,751
2022,331
2024,257
2026,183
2028,109
2030,35
