year,NEW YORK FEMALE/Predictions
1994,4221
1996,4533
1998,4075
2000,4337
2002,4536
2004,4659
2006,4354
2008,4546
2010,4512
2012,4803
2014,4399
2016,4917
2018,4619
2020,5061
2022,4886
2024,4932
2026,4978
2028,5024
2030,5070
