year,MARYLAND FEMALE/Predictions
1994,1305
1996,1298
1998,1231
2000,1371
2002,1335
2004,1454
2006,1488
2008,1574
2010,1353
2012,1552
2014,1617
2016,1659
2018,1639
2020,1865
2022,1769
2024,1807
2026,1846
2028,1884
2030,1923
