year,WISCONSIN TOTAL/Predictions
1994,2813
1996,2900
1998,2602
2000,2970
2002,2744
2004,3225
2006,2948
2008,3095
2010,2908
2012,3318
2014,3005
2016,3323
2018,3129
2020,3391
2022,3336
2024,3378
2026,3419
2028,3461
2030,3502
