year,UTAH TOTAL/Predictions
1994,733
1996,861
1998,788
2000,953
2002,928
2004,1141
2006,932
2008,1056
2010,1095
2012,1138
2014,1101
2016,1398
2018,1443
2020,1468
2022,1461
2024,1513
2026,1564
2028,1616
2030,1668
