year,TEXAS MALE/Predictions
1994,3619
1996,4001
1998,3825
2000,4189
2002,3985
2004,4548
2006,4520
2008,4693
2010,4438
2012,4977
2014,4606
2016,5479
2018,5361
2020,6338
2022,5814
2024,5974
2026,6135
2028,6295
2030,6455
