year,OREGON BLACK/Predictions
1994,20
1996,39
1998,1562
2000,20
2002,30
2004,21
2006,16
2008,37
2010,39
2012,32
2014,29
2016,28
2018,43
2020,47
2022,-78
2024,-107
2026,-136
2028,-165
2030,-195
