year,UTAH BLACK/Predictions
1994,7
1996,2
1998,778
2000,4
2002,7
2004,5
2006,2
2008,12
2010,6
2012,9
2014,6
2016,8
2018,8
2020,9
2022,-50
2024,-65
2026,-80
2028,-95
2030,-110
