year,ILLINOIS MALE/Predictions
1994,2514
1996,2738
1998,2598
2000,2726
2002,2690
2004,3049
2006,2635
2008,2900
2010,2670
2012,3010
2014,2574
2016,3174
2018,2794
2020,3098
2022,3013
2024,3041
2026,3070
2028,3099
2030,3127
