year,ALASKA TOTAL/Predictions
1994,283
1996,305
1998,299
2000,299
2002,303
2004,334
2006,333
2008,345
2010,317
2012,361
2014,336
2016,358
2018,337
2020,383
2022,372
2024,378
2026,384
2028,390
2030,396
