year,ILLINOIS HISPANIC ORIGIN/Predictions
1994,186
1996,152
1998,828
2000,262
2002,299
2004,343
2006,316
2008,385
2010,388
2012,415
2014,410
2016,634
2018,537
2020,532
2022,551
2024,570
2026,590
2028,609
2030,628
