year,ILLINOIS WHITE/Predictions
1994,4473
1996,4780
1998,229
2000,4810
2002,4864
2004,5376
2006,4800
2008,5160
2010,4794
2012,5150
2014,4673
2016,5391
2018,4892
2020,5303
2022,5569
2024,5696
2026,5822
2028,5949
2030,6076
