year,SOUTH CAROLINA HISPANIC ORIGIN/Predictions
1994,0
1996,6
1998,504
2000,7
2002,27
2004,13
2006,9
2008,21
2010,15
2012,21
2014,48
2016,39
2018,36
2020,77
2022,16
2024,10
2026,4
2028,0
2030,-6
