year,SOUTH CAROLINA MALE/Predictions
1994,766
1996,840
1998,852
2000,869
2002,890
2004,1009
2006,894
2008,1052
2010,1054
2012,1096
2014,1132
2016,1145
2018,1121
2020,1266
2022,1252
2024,1286
2026,1320
2028,1354
2030,1388
