year,NEW YORK TOTAL/Predictions
1994,7848
1996,8176
1998,7656
2000,8047
2002,8261
2004,8624
2006,8143
2008,8458
2010,8395
2012,8887
2014,8078
2016,9142
2018,8553
2020,9370
2022,9066
2024,9155
2026,9243
2028,9332
2030,9420
