year,MARYLAND WHITE/Predictions
1994,1720
1996,1814
1998,25
2000,1673
2002,1702
2004,1913
2006,1905
2008,1876
2010,1711
2012,1913
2014,1941
2016,1975
2018,2021
2020,2069
2022,2172
2024,2230
2026,2289
2028,2347
2030,2406
