year,NEW HAMPSHIRE MALE/Predictions
1994,271
1996,289
1998,274
2000,301
2002,293
2004,341
2006,326
2008,360
2010,327
2012,353
2014,331
2016,359
2018,359
2020,401
2022,388
2024,397
2026,405
2028,413
2030,421
