year,DISTRICT OF COLUMBIA TOTAL/Predictions
1994,298
1996,293
1998,256
2000,295
2002,295
2004,293
2006,275
2008,324
2010,295
2012,385
2014,353
2016,420
2018,397
2020,464
2022,425
2024,437
2026,450
2028,462
2030,475
