year,NEBRASKA TOTAL/Predictions
1994,841
1996,875
1998,790
2000,865
2002,838
2004,918
2006,852
2008,939
2010,804
2012,901
2014,873
2016,1008
2018,883
2020,971
2022,946
2024,954
2026,963
2028,971
2030,980
