year,TENNESSEE TOTAL/Predictions
1994,2460
1996,2647
1998,2607
2000,2590
2002,2587
2004,2739
2006,2828
2008,2921
2010,2854
2012,3210
2014,3088
2016,3251
2018,3183
2020,3742
2022,3491
2024,3568
2026,3646
2028,3724
2030,3802
