year,ILLINOIS FEMALE/Predictions
1994,2921
1996,3082
1998,2932
2000,3185
2002,3091
2004,3388
2006,3144
2008,3252
2010,3152
2012,3415
2014,3142
2016,3490
2018,3274
2020,3492
2022,3463
2024,3496
2026,3530
2028,3563
2030,3597
