year,MINNESOTA HISPANIC ORIGIN/Predictions
1994,16
1996,12
1998,23
2000,9
2002,32
2004,53
2006,22
2008,39
2010,43
2012,54
2014,48
2016,54
2018,44
2020,116
2022,78
2024,83
2026,88
2028,93
2030,98
