year,MINNESOTA BLACK/Predictions
1994,62
1996,31
1998,2730
2000,54
2002,40
2004,83
2006,72
2008,87
2010,62
2012,95
2014,83
2016,126
2018,128
2020,139
2022,-74
2024,-120
2026,-166
2028,-212
2030,-258
