year,CALIFORNIA WHITE/Predictions
1994,10978
1996,10892
1998,1749
2000,10839
2002,9930
2004,11286
2006,10756
2008,11775
2010,11016
2012,11785
2014,10753
2016,12084
2018,11711
2020,13508
2022,13017
2024,13333
2026,13649
2028,13965
2030,14281
