year,KENTUCKY BLACK/Predictions
1994,91
1996,147
1998,1831
2000,141
2002,116
2004,158
2006,127
2008,136
2010,118
2012,162
2014,184
2016,187
2018,164
2020,167
2022,48
2024,19
2026,-9
2028,-38
2030,-67
