year,COLORADO FEMALE/Predictions
1994,904
1996,1012
1998,1053
2000,995
2002,1028
2004,1173
2006,1179
2008,1247
2010,1196
2012,1384
2014,1366
2016,1492
2018,1330
2020,1541
2022,1540
2024,1585
2026,1629
2028,1674
2030,1718
