year,NEW YORK WHITE/Predictions
1994,6843
1996,6816
1998,699
2000,6696
2002,6816
2004,7090
2006,6602
2008,6941
2010,6797
2012,6837
2014,6185
2016,6997
2018,6474
2020,6933
2022,7163
2024,7273
2026,7383
2028,7493
2030,7603
