year,OHIO TOTAL/Predictions
1994,5280
1996,5604
1998,5266
2000,5561
2002,5488
2004,6003
2006,5919
2008,6108
2010,5601
2012,6076
2014,5657
2016,6128
2018,6062
2020,6733
2022,6385
2024,6460
2026,6536
2028,6611
2030,6686
