year,KENTUCKY MALE/Predictions
1994,841
1996,910
1998,937
2000,963
2002,968
2004,1039
2006,1050
2008,1044
2010,956
2012,1041
2014,1091
2016,1035
2018,1092
2020,1159
2022,1141
2024,1158
2026,1176
2028,1194
2030,1211
