year,OHIO HISPANIC ORIGIN/Predictions
1994,33
1996,35
1998,525
2000,47
2002,46
2004,100
2006,112
2008,85
2010,64
2012,116
2014,93
2016,119
2018,121
2020,226
2022,128
2024,129
2026,130
2028,130
2030,131
