year,KANSAS WHITE/Predictions
1994,1119
1996,1163
1998,19
2000,1206
2002,1205
2004,1224
2006,1194
2008,1213
2010,1245
2012,1342
2014,1220
2016,1307
2018,1311
2020,1263
2022,1408
2024,1443
2026,1478
2028,1513
2030,1548
